INFO:root:1586702207.560062_model_moe_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch 16000 | lr 0.00 | ms/batch 231.27 | loss 13.74 | aux_loss  0.17 | ppl 925301.45
INFO:root:| epoch   1 | batch 16128 | lr 0.00 | ms/batch 232.01 | loss 13.75 | aux_loss  0.18 | ppl 935354.73
INFO:root:| epoch   1 | batch 16256 | lr 0.00 | ms/batch 232.62 | loss 13.73 | aux_loss  0.17 | ppl 918540.32
INFO:root:| epoch   1 | batch 16384 | lr 0.00 | ms/batch 231.08 | loss 13.74 | aux_loss  0.18 | ppl 927016.15
INFO:root:| epoch   1 | batch 16512 | lr 0.00 | ms/batch 229.89 | loss 13.74 | aux_loss  0.17 | ppl 930208.44
INFO:root:| epoch   1 | batch 16640 | lr 0.00 | ms/batch 241.32 | loss 13.75 | aux_loss  0.18 | ppl 934681.47
INFO:root:| epoch   1 | batch 16768 | lr 0.00 | ms/batch 238.20 | loss 13.73 | aux_loss  0.18 | ppl 918852.33
INFO:root:| epoch   1 | batch 16896 | lr 0.00 | ms/batch 231.35 | loss 13.74 | aux_loss  0.18 | ppl 929437.68
INFO:root:| epoch   1 | batch 17024 | lr 0.00 | ms/batch 284.26 | loss 13.73 | aux_loss  0.17 | ppl 922583.60
INFO:root:| epoch   1 | batch 17152 | lr 0.00 | ms/batch 230.13 | loss 13.74 | aux_loss  0.18 | ppl 929969.42
INFO:root:| epoch   1 | batch 17280 | lr 0.00 | ms/batch 228.81 | loss 13.73 | aux_loss  0.18 | ppl 922564.14
INFO:root:| epoch   1 | batch 17408 | lr 0.00 | ms/batch 230.64 | loss 13.73 | aux_loss  0.18 | ppl 918682.84
INFO:root:| epoch   1 | batch 17536 | lr 0.00 | ms/batch 231.21 | loss 13.74 | aux_loss  0.17 | ppl 927185.20
INFO:root:| epoch   1 | batch 17664 | lr 0.00 | ms/batch 229.81 | loss 13.74 | aux_loss  0.18 | ppl 923998.33
INFO:root:| epoch   1 | batch 17792 | lr 0.00 | ms/batch 229.63 | loss 13.73 | aux_loss  0.17 | ppl 922281.93
INFO:root:| epoch   1 | batch 17920 | lr 0.00 | ms/batch 231.47 | loss 13.74 | aux_loss  0.17 | ppl 928526.12
INFO:root:| epoch   1 | batch 18048 | lr 0.00 | ms/batch 232.34 | loss 13.74 | aux_loss  0.17 | ppl 926216.05
INFO:root:| epoch   1 | batch 18176 | lr 0.00 | ms/batch 232.26 | loss 13.73 | aux_loss  0.18 | ppl 921300.52
INFO:root:| epoch   1 | batch 18304 | lr 0.00 | ms/batch 231.58 | loss 13.74 | aux_loss  0.18 | ppl 930263.71
INFO:root:| epoch   1 | batch 18432 | lr 0.00 | ms/batch 230.58 | loss 13.74 | aux_loss  0.18 | ppl 928342.92
INFO:root:| epoch   1 | batch 18560 | lr 0.00 | ms/batch 230.07 | loss 13.74 | aux_loss  0.17 | ppl 926923.70
INFO:root:| epoch   1 | batch 18688 | lr 0.00 | ms/batch 230.65 | loss 13.74 | aux_loss  0.17 | ppl 931520.39
INFO:root:| epoch   1 | batch 18816 | lr 0.00 | ms/batch 230.47 | loss 13.73 | aux_loss  0.17 | ppl 922434.22
INFO:root:| epoch   1 | batch 18944 | lr 0.00 | ms/batch 231.80 | loss 13.75 | aux_loss  0.18 | ppl 934450.87
INFO:root:| epoch   1 | batch 19072 | lr 0.00 | ms/batch 230.54 | loss 13.74 | aux_loss  0.17 | ppl 931548.81
INFO:root:| epoch   1 | batch 19200 | lr 0.00 | ms/batch 231.49 | loss 13.73 | aux_loss  0.18 | ppl 918721.16
INFO:root:| epoch   1 | batch 19328 | lr 0.00 | ms/batch 231.14 | loss 13.74 | aux_loss  0.17 | ppl 923808.87
INFO:root:| epoch   1 | batch 19456 | lr 0.00 | ms/batch 230.78 | loss 13.73 | aux_loss  0.17 | ppl 922594.67
INFO:root:| epoch   1 | batch 19584 | lr 0.00 | ms/batch 231.05 | loss 13.74 | aux_loss  0.17 | ppl 924979.35
INFO:root:| epoch   1 | batch 19712 | lr 0.00 | ms/batch 229.75 | loss 13.75 | aux_loss  0.18 | ppl 935164.11
INFO:root:| epoch   1 | batch 19840 | lr 0.00 | ms/batch 229.69 | loss 13.75 | aux_loss  0.18 | ppl 935531.88
INFO:root:| epoch   1 | batch 19968 | lr 0.00 | ms/batch 229.55 | loss 13.74 | aux_loss  0.18 | ppl 923931.45
INFO:root:| epoch   1 | batch 20096 | lr 0.00 | ms/batch 230.80 | loss 13.75 | aux_loss  0.16 | ppl 935885.15
INFO:root:| epoch   1 | batch 20224 | lr 0.00 | ms/batch 229.37 | loss 13.74 | aux_loss  0.17 | ppl 928539.70
INFO:root:| epoch   1 | batch 20352 | lr 0.00 | ms/batch 227.58 | loss 13.75 | aux_loss  0.18 | ppl 932556.06
INFO:root:| epoch   1 | batch 20480 | lr 0.00 | ms/batch 227.67 | loss 13.73 | aux_loss  0.19 | ppl 922350.67
INFO:root:| epoch   1 | batch 20608 | lr 0.00 | ms/batch 227.99 | loss 13.74 | aux_loss  0.18 | ppl 926114.28
INFO:root:| epoch   1 | batch 20736 | lr 0.00 | ms/batch 225.99 | loss 13.74 | aux_loss  0.17 | ppl 925827.83
INFO:root:| epoch   1 | batch 20864 | lr 0.00 | ms/batch 229.31 | loss 13.75 | aux_loss  0.17 | ppl 932814.77
INFO:root:| epoch   1 | batch 20992 | lr 0.00 | ms/batch 229.86 | loss 13.74 | aux_loss  0.18 | ppl 928077.44
INFO:root:| epoch   1 | batch 21120 | lr 0.00 | ms/batch 230.83 | loss 13.74 | aux_loss  0.17 | ppl 925239.46
INFO:root:| epoch   1 | batch 21248 | lr 0.00 | ms/batch 230.64 | loss 13.74 | aux_loss  0.19 | ppl 930244.77
INFO:root:| epoch   1 | batch 21376 | lr 0.00 | ms/batch 232.66 | loss 13.74 | aux_loss  0.17 | ppl 922974.69
INFO:root:| epoch   1 | batch 21504 | lr 0.00 | ms/batch 231.21 | loss 13.74 | aux_loss  0.17 | ppl 922797.25
INFO:root:| epoch   1 | batch 21632 | lr 0.00 | ms/batch 230.05 | loss 13.74 | aux_loss  0.18 | ppl 926170.36
INFO:root:| epoch   1 | batch 21760 | lr 0.00 | ms/batch 230.38 | loss 13.74 | aux_loss  0.18 | ppl 927580.84
INFO:root:| epoch   1 | batch 21888 | lr 0.00 | ms/batch 232.24 | loss 13.74 | aux_loss  0.17 | ppl 926380.83
INFO:root:| epoch   1 | batch 22016 | lr 0.00 | ms/batch 231.16 | loss 13.75 | aux_loss  0.18 | ppl 936948.67
INFO:root:| epoch   1 | batch 22144 | lr 0.00 | ms/batch 230.28 | loss 13.74 | aux_loss  0.16 | ppl 929345.04
INFO:root:| epoch   1 | batch 22272 | lr 0.00 | ms/batch 229.78 | loss 13.75 | aux_loss  0.18 | ppl 938418.04
